job_num,method,simulation_id,estimate,SE,p_value,ndf,ddf,n_obs,dgp,b_xy,b_cy,b_cx,r_cc
1,no_covs,9,0.2578328556858229,0.09625201122630919,0.008667906619987632,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,10,0.09810470781428635,0.09983008012836296,0.32816671427904986,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,11,0.06415252836826309,0.09798763012842711,0.5141944283009622,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,12,0.18696683597063257,0.11322476242883808,0.10188056842661868,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,13,0.09396656475893209,0.08572523382554793,0.2757053735512575,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,14,0.12042100729147345,0.0915460472306167,0.19143989285900737,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,15,0.24424638381469813,0.10614667556990079,0.02350868620703567,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,16,0.09491523743152287,0.10749985072276944,0.37943284952220224,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,17,0.272508211218714,0.10181190333642252,0.008719633926289718,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,18,0.16275359504755194,0.09855340666649359,0.10185273215665713,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,19,0.017319018837711274,0.09519354720302893,0.8560096892328216,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,20,0.17046915897384418,0.10302309972040646,0.10119099638421127,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,21,-0.056421510361017384,0.1056903658511586,0.5946625979165138,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,22,0.21599998741577295,0.10784538323726403,0.0479536681507128,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,23,0.16294947085075473,0.10790513845017617,0.13423100967726898,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,24,0.14762791053071012,0.11292775219594473,0.19417737228392118,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,25,0.19606658459937984,0.09443478573463915,0.040491978588674205,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,26,0.04573385754215476,0.09273374639107826,0.6229930784379205,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,27,0.13256628792095382,0.10070886827765904,0.19113313936271034,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,28,0.016407718734401396,0.09797315628627015,0.8673441123346117,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,29,0.2527850166140362,0.09413143666423807,0.00850741466603349,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,30,0.02177334708278111,0.08505047290574404,0.7984835703243862,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,31,0.32134289779480757,0.09803624153711722,0.0014482105649251636,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,32,0.1460483842679104,0.10835602386221257,0.1808120234059697,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,33,0.08080635776303347,0.12069304448473032,0.5047384570909785,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,34,0.23055116069263012,0.09834329376279097,0.02107826332877143,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,35,0.1631195236638315,0.09622167543416274,0.09320370975577069,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,36,0.051935559778535215,0.09240763046688553,0.575381016149525,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,37,0.3910046140922357,0.11085128548270266,6.40631618553638e-4,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,38,0.11604408594828469,0.11150169101012597,0.3005577900705691,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,39,0.2758375390689982,0.0997308536398973,0.0067864997394310594,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,40,0.22802389874356008,0.09773541132687104,0.021688507064423792,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,41,0.21246784364389606,0.09783457114359413,0.03229098941310428,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,42,0.29513173579392493,0.10950016108999239,0.008277848436859693,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,43,0.15502303914376103,0.09519254085696705,0.10662516491595726,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,44,0.3728408745934233,0.09624776520254172,1.9359906039099733e-4,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,45,0.21518221069158947,0.09904100897556614,0.03221705946235805,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,46,0.20521495216670818,0.08481478011879032,0.01738278410029337,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,no_covs,47,0.318223089292475,0.09499551327754847,0.0011488847162613284,1,98,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
